genre,tokens,types,ttr,root_ttr,log_ttr,maas_ttr,msttr,mattr,hdd,mtld,type_token_ratio_pct,length_rank,mtld_rank,hdd_rank,mattr_rank
adventure,58372,8210,0.140650,33.981369,0.821270,0.037499,0.819006,0.819427,0.873201,105.342927,14.060000,8,3,7,3
belles_lettres,151548,16676,0.110038,42.836776,0.814989,0.035713,0.803624,0.803992,0.860716,92.196056,11.000000,2,11,12,12
editorial,54087,8854,0.163699,38.070894,0.833945,0.035084,0.813710,0.813432,0.868640,101.082736,16.370000,10,6,9,7
fiction,58296,8625,0.147952,35.722326,0.825862,0.036540,0.809185,0.809316,0.868330,96.496571,14.800000,9,9,10,9
government,61143,6834,0.111771,27.637681,0.801169,0.041541,0.766579,0.766695,0.852251,65.429040,11.180000,6,15,15,15
hobbies,71552,10256,0.143336,38.341326,0.826218,0.035797,0.804626,0.804750,0.874298,89.868180,14.330000,5,12,6,11
humor,18265,4729,0.258910,34.991251,0.862294,0.032313,0.827507,0.827493,0.877549,113.975599,25.890000,14,2,2,1
learned,159940,14708,0.091959,36.776896,0.800843,0.038270,0.775829,0.775933,0.855358,69.584594,9.200000,1,14,14,14
lore,96695,13042,0.134878,41.941329,0.825479,0.035006,0.807108,0.806918,0.865711,93.868541,13.490000,3,10,11,10
mystery,48174,6410,0.133059,29.204628,0.812943,0.039946,0.816802,0.816470,0.875922,98.033522,13.310000,11,7,4,5
news,87004,12222,0.140476,41.435508,0.827434,0.034936,0.813724,0.814039,0.875760,101.089983,14.050000,4,5,5,6
religion,34308,5787,0.168678,31.243220,0.829576,0.037577,0.788309,0.787167,0.857880,76.708114,16.870000,13,13,13,13
reviews,35088,7866,0.224179,41.992781,0.857122,0.031435,0.827332,0.826873,0.871725,120.399190,22.420000,12,1,8,2
romance,58612,7840,0.133761,32.383426,0.816763,0.038431,0.812816,0.813409,0.877450,96.852363,13.380000,7,8,3,8
science_fiction,12035,3011,0.250187,27.446547,0.852532,0.036140,0.819833,0.818485,0.880792,103.141998,25.020000,15,4,1,4
