,tokens,types,ttr,root_ttr,log_ttr,maas_ttr,msttr,mattr,hdd,mtld
tokens,1.000000,0.948875,-0.763697,0.521357,-0.658581,0.170714,-0.477116,-0.461828,-0.534600,-0.469375
types,0.948875,1.000000,-0.683937,0.746207,-0.501908,-0.059293,-0.288401,-0.271913,-0.417224,-0.269167
ttr,-0.763697,-0.683937,1.000000,-0.137843,0.958517,-0.642155,0.638129,0.621271,0.569744,0.673362
root_ttr,0.521357,0.746207,-0.137843,1.000000,0.133423,-0.667095,0.235354,0.247157,-0.037196,0.305198
log_ttr,-0.658581,-0.501908,0.958517,0.133423,1.000000,-0.821450,0.730738,0.717058,0.589202,0.775588
maas_ttr,0.170714,-0.059293,-0.642155,-0.667095,-0.821450,1.000000,-0.663592,-0.660814,-0.404464,-0.741562
msttr,-0.477116,-0.288401,0.638129,0.235354,0.730738,-0.663592,1.000000,0.999516,0.876791,0.975404
mattr,-0.461828,-0.271913,0.621271,0.247157,0.717058,-0.660814,0.999516,1.000000,0.876841,0.975707
hdd,-0.534600,-0.417224,0.569744,-0.037196,0.589202,-0.404464,0.876791,0.876841,1.000000,0.799636
mtld,-0.469375,-0.269167,0.673362,0.305198,0.775588,-0.741562,0.975404,0.975707,0.799636,1.000000
