metric,group,rank,genre,score
ttr,top,1,humor,0.258910
ttr,top,2,science_fiction,0.250187
ttr,top,3,reviews,0.224179
ttr,bottom,1,learned,0.091959
ttr,bottom,2,belles_lettres,0.110038
ttr,bottom,3,government,0.111771
root_ttr,top,1,belles_lettres,42.836776
root_ttr,top,2,reviews,41.992781
root_ttr,top,3,lore,41.941329
root_ttr,bottom,1,science_fiction,27.446547
root_ttr,bottom,2,government,27.637681
root_ttr,bottom,3,mystery,29.204628
log_ttr,top,1,humor,0.862294
log_ttr,top,2,reviews,0.857122
log_ttr,top,3,science_fiction,0.852532
log_ttr,bottom,1,learned,0.800843
log_ttr,bottom,2,government,0.801169
log_ttr,bottom,3,mystery,0.812943
maas_ttr,top,1,government,0.041541
maas_ttr,top,2,mystery,0.039946
maas_ttr,top,3,romance,0.038431
maas_ttr,bottom,1,reviews,0.031435
maas_ttr,bottom,2,humor,0.032313
maas_ttr,bottom,3,news,0.034936
msttr,top,1,humor,0.827507
msttr,top,2,reviews,0.827332
msttr,top,3,science_fiction,0.819833
msttr,bottom,1,government,0.766579
msttr,bottom,2,learned,0.775829
msttr,bottom,3,religion,0.788309
mattr,top,1,humor,0.827493
mattr,top,2,reviews,0.826873
mattr,top,3,adventure,0.819427
mattr,bottom,1,government,0.766695
mattr,bottom,2,learned,0.775933
mattr,bottom,3,religion,0.787167
hdd,top,1,science_fiction,0.880792
hdd,top,2,humor,0.877549
hdd,top,3,romance,0.877450
hdd,bottom,1,government,0.852251
hdd,bottom,2,learned,0.855358
hdd,bottom,3,religion,0.857880
mtld,top,1,reviews,120.399190
mtld,top,2,humor,113.975599
mtld,top,3,adventure,105.342927
mtld,bottom,1,government,65.429040
mtld,bottom,2,learned,69.584594
mtld,bottom,3,religion,76.708114
